Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
8600000US13080,ZCTA5 13080,3227,3025,3,0,3227,93
8600000US13081,ZCTA5 13081,1203,1163,2,0,1203,35
8600000US13082,ZCTA5 13082,4201,4167,4,26,4201,1
8600000US13083,ZCTA5 13083,2027,1999,2,8,2027,6
8600000US13084,ZCTA5 13084,3814,3662,39,0,3814,48
8600000US13087,ZCTA5 13087,243,218,0,0,243,0
8600000US13088,ZCTA5 13088,20926,18705,601,546,20926,725
8600000US13090,ZCTA5 13090,29017,24551,1903,667,29017,1162
8600000US13092,ZCTA5 13092,2484,2336,42,16,2484,88
8600000US13101,ZCTA5 13101,2448,2311,2,0,2448,75
8600000US13102,ZCTA5 13102,74,74,0,0,74,0
8600000US13103,ZCTA5 13103,226,215,0,3,226,0
8600000US13104,ZCTA5 13104,16038,13987,149,1499,16038,446
8600000US13108,ZCTA5 13108,6193,5988,52,59,6193,127
8600000US13110,ZCTA5 13110,2198,2057,0,0,2198,5
8600000US13111,ZCTA5 13111,1769,1545,0,0,1769,203
8600000US13112,ZCTA5 13112,1683,1683,0,0,1683,0
8600000US13113,ZCTA5 13113,258,257,0,0,258,2
8600000US13114,ZCTA5 13114,6594,6422,31,35,6594,16
8600000US13115,ZCTA5 13115,238,232,0,0,238,1
8600000US13116,ZCTA5 13116,3447,2899,105,19,3447,413
8600000US13117,ZCTA5 13117,289,269,1,0,289,0
8600000US13118,ZCTA5 13118,6130,5342,530,30,6130,142
8600000US13120,ZCTA5 13120,2092,1551,331,8,2092,39
8600000US13122,ZCTA5 13122,1181,1136,9,0,1181,36
8600000US13123,ZCTA5 13123,485,485,0,0,485,0
8600000US13124,ZCTA5 13124,99,99,0,0,99,3
8600000US13126,ZCTA5 13126,35369,32416,1003,584,35369,1458
8600000US13131,ZCTA5 13131,3317,3151,13,53,3317,36
8600000US13132,ZCTA5 13132,3557,3365,28,12,3557,101
8600000US13134,ZCTA5 13134,187,130,0,0,187,0
8600000US13135,ZCTA5 13135,5939,5790,1,36,5939,80
8600000US13136,ZCTA5 13136,360,360,0,0,360,0
8600000US13138,ZCTA5 13138,121,121,0,0,121,0
8600000US13140,ZCTA5 13140,4534,4381,8,17,4534,108
8600000US13141,ZCTA5 13141,510,500,0,0,510,0
8600000US13142,ZCTA5 13142,6486,6131,35,4,6486,54
8600000US13143,ZCTA5 13143,2300,2143,69,20,2300,14
8600000US13144,ZCTA5 13144,1608,1571,17,0,1608,25
8600000US13145,ZCTA5 13145,1410,1377,2,0,1410,0
8600000US13146,ZCTA5 13146,2433,2186,19,19,2433,94
8600000US13147,ZCTA5 13147,1031,990,0,0,1031,78
8600000US13148,ZCTA5 13148,10648,9881,300,166,10648,351
8600000US13152,ZCTA5 13152,7841,7679,15,38,7841,140
8600000US13153,ZCTA5 13153,469,469,0,0,469,0
8600000US13155,ZCTA5 13155,491,476,0,0,491,13
8600000US13156,ZCTA5 13156,1757,1737,11,0,1757,0
8600000US13157,ZCTA5 13157,489,444,25,0,489,0
8600000US13158,ZCTA5 13158,1772,1710,43,3,1772,97
8600000US13159,ZCTA5 13159,5303,5133,36,14,5303,35
8600000US13160,ZCTA5 13160,2242,2130,8,8,2242,91
8600000US13162,ZCTA5 13162,248,248,0,0,248,0
8600000US13163,ZCTA5 13163,462,419,37,0,462,12
8600000US13164,ZCTA5 13164,2607,2555,0,0,2607,29
8600000US13165,ZCTA5 13165,9905,9395,134,73,9905,356
8600000US13166,ZCTA5 13166,5465,5323,27,47,5465,34
8600000US13167,ZCTA5 13167,2756,2687,0,15,2756,0
8600000US13202,ZCTA5 13202,6943,2395,3284,410,6943,1115
8600000US13203,ZCTA5 13203,16876,9745,4103,1380,16876,1547
8600000US13204,ZCTA5 13204,19264,10929,5648,225,19264,3298
8600000US13205,ZCTA5 13205,16746,6326,7870,558,16746,1199
8600000US13206,ZCTA5 13206,16837,11937,2506,697,16837,1097
8600000US13207,ZCTA5 13207,12552,6131,5183,108,12552,1169
8600000US13208,ZCTA5 13208,22560,11404,6152,3231,22560,1150
8600000US13209,ZCTA5 13209,12364,10671,595,61,12364,550
8600000US13210,ZCTA5 13210,27172,16611,4574,3320,27172,2394
8600000US13211,ZCTA5 13211,6117,5544,113,88,6117,438
8600000US13212,ZCTA5 13212,21557,19578,797,280,21557,617
8600000US13214,ZCTA5 13214,8392,6122,1161,296,8392,811
8600000US13215,ZCTA5 13215,14306,12698,525,188,14306,656
8600000US13219,ZCTA5 13219,14819,13650,522,183,14819,447
8600000US13224,ZCTA5 13224,8486,4585,2694,465,8486,776
8600000US13290,ZCTA5 13290,0,0,0,0,0,0
8600000US13301,ZCTA5 13301,198,198,0,0,198,0
8600000US13302,ZCTA5 13302,1483,1441,1,7,1483,16
8600000US13303,ZCTA5 13303,1454,1429,2,0,1454,22
8600000US13304,ZCTA5 13304,1726,1677,6,34,1726,17
8600000US13305,ZCTA5 13305,204,204,0,0,204,0
8600000US13308,ZCTA5 13308,3867,3767,0,8,3867,0
8600000US13309,ZCTA5 13309,5672,5426,30,5,5672,103
8600000US13310,ZCTA5 13310,828,828,0,0,828,0
8600000US13312,ZCTA5 13312,332,328,0,0,332,0
8600000US13313,ZCTA5 13313,451,434,0,0,451,59
8600000US13314,ZCTA5 13314,232,232,0,0,232,0
8600000US13315,ZCTA5 13315,1471,1428,7,22,1471,21
8600000US13316,ZCTA5 13316,6168,6029,59,25,6168,100
8600000US13317,ZCTA5 13317,3847,3653,8,23,3847,60
8600000US13318,ZCTA5 13318,1300,1298,0,0,1300,0
8600000US13319,ZCTA5 13319,761,761,0,0,761,0
8600000US13320,ZCTA5 13320,2119,2099,5,0,2119,26
8600000US13321,ZCTA5 13321,639,593,0,26,639,20
8600000US13322,ZCTA5 13322,888,865,11,0,888,26
8600000US13323,ZCTA5 13323,11585,10716,195,244,11585,544
8600000US13324,ZCTA5 13324,2195,2171,8,2,2195,11
8600000US13325,ZCTA5 13325,955,949,0,0,955,21
8600000US13326,ZCTA5 13326,5165,4602,120,148,5165,165
8600000US13327,ZCTA5 13327,1762,1762,0,0,1762,13
8600000US13328,ZCTA5 13328,1622,1539,4,0,1622,10
8600000US13329,ZCTA5 13329,4211,4005,0,11,4211,186
8600000US13331,ZCTA5 13331,61,61,0,0,61,0
8600000US13332,ZCTA5 13332,2823,2625,27,5,2823,35
8600000US13333,ZCTA5 13333,35,35,0,0,35,0
8600000US13334,ZCTA5 13334,1083,1070,0,1,1083,0
8600000US13335,ZCTA5 13335,1386,1271,3,24,1386,61
8600000US13337,ZCTA5 13337,628,612,0,16,628,16
8600000US13338,ZCTA5 13338,1263,1218,15,0,1263,0
8600000US13339,ZCTA5 13339,6382,5967,65,2,6382,355
8600000US13340,ZCTA5 13340,8023,7485,114,12,8023,161
8600000US13341,ZCTA5 13341,171,167,0,4,171,0
8600000US13342,ZCTA5 13342,229,183,0,0,229,53
8600000US13343,ZCTA5 13343,1572,1569,0,0,1572,0
8600000US13345,ZCTA5 13345,150,136,14,0,150,0
8600000US13346,ZCTA5 13346,6225,5405,217,362,6225,405
8600000US13348,ZCTA5 13348,1381,1337,8,4,1381,10
8600000US13350,ZCTA5 13350,9727,8965,193,117,9727,180
8600000US13352,ZCTA5 13352,10,10,0,0,10,0
8600000US13353,ZCTA5 13353,17,14,0,0,17,0
8600000US13354,ZCTA5 13354,3777,3731,5,3,3777,17
8600000US13355,ZCTA5 13355,1440,1431,0,0,1440,0
8600000US13357,ZCTA5 13357,10748,10062,361,52,10748,434
8600000US13360,ZCTA5 13360,134,134,0,0,134,0
8600000US13361,ZCTA5 13361,872,836,4,13,872,25
8600000US13362,ZCTA5 13362,129,129,0,0,129,0
8600000US13363,ZCTA5 13363,2358,2233,22,0,2358,94
8600000US13364,ZCTA5 13364,222,222,0,0,222,0
8600000US13365,ZCTA5 13365,8472,8256,38,19,8472,267
8600000US13367,ZCTA5 13367,8893,8538,144,38,8893,234
8600000US13368,ZCTA5 13368,1184,1150,8,0,1184,0
8600000US13402,ZCTA5 13402,1441,1423,3,10,1441,7
8600000US13403,ZCTA5 13403,7485,6463,827,21,7485,488
8600000US13404,ZCTA5 13404,130,130,0,0,130,0
8600000US13406,ZCTA5 13406,865,859,4,0,865,0
8600000US13407,ZCTA5 13407,4830,4395,88,75,4830,91
8600000US13408,ZCTA5 13408,3584,3071,276,114,3584,101
8600000US13409,ZCTA5 13409,2255,2100,39,0,2255,84
8600000US13410,ZCTA5 13410,350,289,0,0,350,5
8600000US13411,ZCTA5 13411,3092,3007,0,3,3092,77
8600000US13413,ZCTA5 13413,15750,14307,178,598,15750,425
8600000US13415,ZCTA5 13415,25,18,0,0,25,7
8600000US13416,ZCTA5 13416,2079,2034,7,0,2079,9
8600000US13417,ZCTA5 13417,3066,2831,23,74,3066,36
8600000US13418,ZCTA5 13418,268,254,0,0,268,0
8600000US13420,ZCTA5 13420,1064,1034,30,0,1064,26
8600000US13421,ZCTA5 13421,13230,12591,196,63,13230,397
8600000US13424,ZCTA5 13424,2375,2067,154,131,2375,97
8600000US13425,ZCTA5 13425,2143,2052,53,23,2143,11
8600000US13428,ZCTA5 13428,1668,1600,12,41,1668,17
8600000US13431,ZCTA5 13431,1902,1872,8,0,1902,24
8600000US13433,ZCTA5 13433,1657,1642,13,1,1657,24
8600000US13435,ZCTA5 13435,347,278,57,2,347,0
8600000US13436,ZCTA5 13436,42,42,0,0,42,3
8600000US13437,ZCTA5 13437,326,325,0,0,326,0
8600000US13438,ZCTA5 13438,2944,2906,20,3,2944,53
8600000US13439,ZCTA5 13439,3720,3695,11,3,3720,109
8600000US13440,ZCTA5 13440,41342,36436,2207,453,41342,2909
8600000US13441,ZCTA5 13441,197,114,63,0,197,20
8600000US13450,ZCTA5 13450,85,85,0,0,85,0
8600000US13452,ZCTA5 13452,4671,4432,52,28,4671,124
8600000US13454,ZCTA5 13454,800,752,0,0,800,5
8600000US13456,ZCTA5 13456,4039,3699,11,229,4039,67
8600000US13459,ZCTA5 13459,2343,2266,2,32,2343,62
8600000US13460,ZCTA5 13460,4122,3982,11,17,4122,55
8600000US13461,ZCTA5 13461,2987,2843,38,40,2987,138
8600000US13464,ZCTA5 13464,1368,1348,12,0,1368,4
8600000US13468,ZCTA5 13468,478,478,0,0,478,10
8600000US13469,ZCTA5 13469,1238,1238,0,0,1238,0
8600000US13470,ZCTA5 13470,665,639,12,3,665,32
8600000US13471,ZCTA5 13471,3045,2956,26,0,3045,9
8600000US13472,ZCTA5 13472,79,79,0,0,79,0
8600000US13473,ZCTA5 13473,958,829,6,0,958,59
8600000US13475,ZCTA5 13475,13,13,0,0,13,0
8600000US13476,ZCTA5 13476,3617,3410,82,13,3617,78
8600000US13477,ZCTA5 13477,1029,1023,0,0,1029,7
8600000US13478,ZCTA5 13478,3257,3231,0,26,3257,54
8600000US13480,ZCTA5 13480,3235,3176,18,9,3235,21
8600000US13483,ZCTA5 13483,317,311,6,0,317,0
8600000US13484,ZCTA5 13484,174,174,0,0,174,0
8600000US13485,ZCTA5 13485,1231,1210,13,0,1231,5
8600000US13486,ZCTA5 13486,701,701,0,0,701,0
8600000US13488,ZCTA5 13488,103,95,0,0,103,0
8600000US13489,ZCTA5 13489,538,500,36,0,538,0
8600000US13490,ZCTA5 13490,1606,1556,0,50,1606,50
8600000US13491,ZCTA5 13491,3330,3286,2,22,3330,72
8600000US13492,ZCTA5 13492,11118,10268,306,232,11118,394
8600000US13493,ZCTA5 13493,2318,2248,0,9,2318,25
8600000US13494,ZCTA5 13494,240,237,0,3,240,0
8600000US13495,ZCTA5 13495,2035,1891,41,12,2035,181
8600000US13501,ZCTA5 13501,37132,21273,5322,6048,37132,4764
8600000US13502,ZCTA5 13502,32437,24563,4120,1201,32437,2932
8600000US13601,ZCTA5 13601,36982,31381,2599,540,36982,2807
8600000US13602,ZCTA5 13602,4383,2551,833,351,4383,856
8600000US13603,ZCTA5 13603,9274,6105,1328,277,9274,2298
8600000US13605,ZCTA5 13605,5173,4961,5,0,5173,131
8600000US13606,ZCTA5 13606,2456,2432,3,0,2456,23
8600000US13607,ZCTA5 13607,1445,1393,35,10,1445,10
8600000US13608,ZCTA5 13608,1698,1645,1,0,1698,34
8600000US13612,ZCTA5 13612,2233,2084,1,73,2233,41
8600000US13613,ZCTA5 13613,2698,2587,7,5,2698,14
8600000US13614,ZCTA5 13614,355,330,0,0,355,0
8600000US13615,ZCTA5 13615,905,893,3,8,905,19
8600000US13616,ZCTA5 13616,2202,1417,333,333,2202,58
8600000US13617,ZCTA5 13617,11556,10456,527,257,11556,346
8600000US13618,ZCTA5 13618,1525,1448,12,19,1525,27
8600000US13619,ZCTA5 13619,10439,9163,299,79,10439,549
8600000US13620,ZCTA5 13620,2592,2472,7,20,2592,80
8600000US13621,ZCTA5 13621,494,489,1,0,494,4
8600000US13622,ZCTA5 13622,2138,2007,40,10,2138,63
8600000US13623,ZCTA5 13623,13,13,0,0,13,0
8600000US13624,ZCTA5 13624,5297,4501,421,16,5297,322
8600000US13625,ZCTA5 13625,1470,1450,1,0,1470,8
8600000US13626,ZCTA5 13626,2271,2139,11,15,2271,26
8600000US13628,ZCTA5 13628,211,209,0,0,211,10
8600000US13630,ZCTA5 13630,1515,1458,4,0,1515,1
8600000US13633,ZCTA5 13633,249,242,0,0,249,1
8600000US13634,ZCTA5 13634,3706,3626,25,0,3706,85
8600000US13635,ZCTA5 13635,1108,1087,2,0,1108,2
8600000US13636,ZCTA5 13636,237,226,2,4,237,4
8600000US13637,ZCTA5 13637,3720,2808,417,94,3720,766
8600000US13638,ZCTA5 13638,401,401,0,0,401,32
8600000US13639,ZCTA5 13639,172,169,0,0,172,2
8600000US13640,ZCTA5 13640,272,267,0,0,272,0
8600000US13641,ZCTA5 13641,38,38,0,0,38,0
8600000US13642,ZCTA5 13642,10055,8825,564,5,10055,525
8600000US13643,ZCTA5 13643,30,30,0,0,30,0
8600000US13646,ZCTA5 13646,1879,1814,4,13,1879,6
8600000US13647,ZCTA5 13647,89,87,0,0,89,2
8600000US13648,ZCTA5 13648,2056,2022,1,1,2056,8
8600000US13650,ZCTA5 13650,1559,1442,4,8,1559,87
8600000US13651,ZCTA5 13651,112,112,0,0,112,0
8600000US13652,ZCTA5 13652,1544,1477,0,8,1544,5
8600000US13654,ZCTA5 13654,2603,2576,10,2,2603,11
8600000US13655,ZCTA5 13655,3418,464,9,287,3418,0
8600000US13656,ZCTA5 13656,2834,2700,109,0,2834,33
8600000US13658,ZCTA5 13658,2414,2369,3,0,2414,30
8600000US13659,ZCTA5 13659,382,381,0,0,382,4
8600000US13660,ZCTA5 13660,1641,1574,4,6,1641,40
8600000US13661,ZCTA5 13661,1609,1549,7,0,1609,56
8600000US13662,ZCTA5 13662,16179,15400,21,96,16179,148
8600000US13664,ZCTA5 13664,348,305,13,3,348,31
8600000US13665,ZCTA5 13665,626,612,14,0,626,0
8600000US13666,ZCTA5 13666,240,159,0,0,240,1
8600000US13667,ZCTA5 13667,2781,2747,18,0,2781,35
8600000US13668,ZCTA5 13668,3196,3087,19,37,3196,9
8600000US13669,ZCTA5 13669,15870,14011,897,198,15870,531
8600000US13670,ZCTA5 13670,476,457,0,3,476,7
8600000US13672,ZCTA5 13672,439,396,0,0,439,29
8600000US13673,ZCTA5 13673,2231,2033,67,11,2231,67
8600000US13674,ZCTA5 13674,191,191,0,0,191,0
8600000US13675,ZCTA5 13675,250,250,0,0,250,0
8600000US13676,ZCTA5 13676,16754,14893,696,411,16754,660
8600000US13677,ZCTA5 13677,6,6,0,0,6,0
8600000US13678,ZCTA5 13678,330,330,0,0,330,0
8600000US13679,ZCTA5 13679,1686,1667,0,0,1686,9
8600000US13680,ZCTA5 13680,1643,1634,7,0,1643,1
8600000US13681,ZCTA5 13681,1149,1126,3,2,1149,6
8600000US13682,ZCTA5 13682,654,644,0,10,654,0
8600000US13684,ZCTA5 13684,842,827,5,2,842,1
8600000US13685,ZCTA5 13685,2238,2134,3,19,2238,107
8600000US13687,ZCTA5 13687,458,453,0,0,458,0
8600000US13690,ZCTA5 13690,569,525,4,3,569,8
8600000US13691,ZCTA5 13691,3016,2736,26,14,3016,63
8600000US13692,ZCTA5 13692,155,155,0,0,155,0
8600000US13693,ZCTA5 13693,408,380,0,0,408,28
8600000US13694,ZCTA5 13694,1328,1298,0,0,1328,53
8600000US13695,ZCTA5 13695,152,152,0,0,152,0
8600000US13696,ZCTA5 13696,87,87,0,0,87,0
8600000US13697,ZCTA5 13697,1776,1688,0,22,1776,0
8600000US13730,ZCTA5 13730,2630,2583,26,0,2630,29
8600000US13731,ZCTA5 13731,946,902,0,6,946,13
8600000US13732,ZCTA5 13732,7602,7228,75,56,7602,208
8600000US13733,ZCTA5 13733,5112,4939,47,0,5112,87
8600000US13734,ZCTA5 13734,1828,1788,1,1,1828,22
8600000US13736,ZCTA5 13736,2086,2063,0,2,2086,6
8600000US13739,ZCTA5 13739,783,766,0,16,783,16
8600000US13740,ZCTA5 13740,483,432,5,24,483,7
8600000US13743,ZCTA5 13743,3630,3621,4,0,3630,7
8600000US13744,ZCTA5 13744,1307,1286,1,0,1307,0
8600000US13746,ZCTA5 13746,1578,1498,12,15,1578,0
8600000US13748,ZCTA5 13748,3766,3558,16,0,3766,390
8600000US13750,ZCTA5 13750,788,706,27,28,788,39
8600000US13751,ZCTA5 13751,189,189,0,0,189,0
8600000US13752,ZCTA5 13752,886,882,0,0,886,4
8600000US13753,ZCTA5 13753,5511,4878,249,111,5511,326
8600000US13754,ZCTA5 13754,2883,2739,23,21,2883,34
8600000US13755,ZCTA5 13755,982,961,0,0,982,7
8600000US13756,ZCTA5 13756,431,431,0,0,431,8
8600000US13757,ZCTA5 13757,1396,1396,0,0,1396,7
8600000US13760,ZCTA5 13760,42103,37233,1881,1045,42103,1404
8600000US13774,ZCTA5 13774,198,198,0,0,198,0
8600000US13775,ZCTA5 13775,1780,1760,7,0,1780,26
8600000US13776,ZCTA5 13776,507,453,0,13,507,0
8600000US13777,ZCTA5 13777,433,433,0,0,433,0
8600000US13778,ZCTA5 13778,5458,5245,28,16,5458,163
8600000US13780,ZCTA5 13780,708,686,0,0,708,0
8600000US13782,ZCTA5 13782,824,727,62,20,824,52
8600000US13783,ZCTA5 13783,2659,2474,73,2,2659,78
8600000US13784,ZCTA5 13784,215,215,0,0,215,23
8600000US13786,ZCTA5 13786,464,464,0,0,464,3
8600000US13787,ZCTA5 13787,3039,2937,1,15,3039,12
8600000US13788,ZCTA5 13788,899,858,6,10,899,4
8600000US13790,ZCTA5 13790,17763,14515,1009,1165,17763,860
8600000US13794,ZCTA5 13794,75,68,0,0,75,0
8600000US13795,ZCTA5 13795,3093,2602,211,59,3093,372
8600000US13796,ZCTA5 13796,1063,1026,20,0,1063,26
8600000US13797,ZCTA5 13797,2262,2184,4,0,2262,1
8600000US13801,ZCTA5 13801,1457,1386,10,9,1457,38
8600000US13802,ZCTA5 13802,964,864,0,0,964,100
8600000US13803,ZCTA5 13803,4131,4006,12,21,4131,60
8600000US13804,ZCTA5 13804,332,326,0,0,332,0
8600000US13806,ZCTA5 13806,224,201,0,17,224,0
8600000US13807,ZCTA5 13807,1214,1165,25,12,1214,10
8600000US13808,ZCTA5 13808,1524,1485,1,3,1524,57
8600000US13809,ZCTA5 13809,1761,1761,0,0,1761,1
8600000US13810,ZCTA5 13810,1362,1340,0,9,1362,31
8600000US13811,ZCTA5 13811,3988,3735,30,71,3988,18
8600000US13812,ZCTA5 13812,2258,2222,0,0,2258,5
8600000US13813,ZCTA5 13813,1368,1295,0,0,1368,0
8600000US13815,ZCTA5 13815,12901,11918,182,144,12901,389
8600000US13820,ZCTA5 13820,22157,19482,1003,489,22157,1361
8600000US13825,ZCTA5 13825,2888,2796,13,18,2888,17
8600000US13826,ZCTA5 13826,0,0,0,0,0,0
8600000US13827,ZCTA5 13827,11538,11057,121,108,11538,377
8600000US13830,ZCTA5 13830,5119,4879,53,4,5119,163
8600000US13832,ZCTA5 13832,563,558,0,0,563,13
8600000US13833,ZCTA5 13833,3890,3704,0,38,3890,41
8600000US13834,ZCTA5 13834,279,255,24,0,279,0
8600000US13835,ZCTA5 13835,1310,1284,0,0,1310,1
8600000US13838,ZCTA5 13838,3873,3466,85,19,3873,176
8600000US13839,ZCTA5 13839,1251,1198,0,5,1251,35
8600000US13841,ZCTA5 13841,561,545,9,0,561,13
8600000US13842,ZCTA5 13842,627,492,63,11,627,31
8600000US13843,ZCTA5 13843,2241,2186,0,0,2241,32
8600000US13844,ZCTA5 13844,674,638,10,0,674,3
8600000US13845,ZCTA5 13845,147,147,0,0,147,0
8600000US13846,ZCTA5 13846,475,465,2,8,475,0
8600000US13847,ZCTA5 13847,58,58,0,0,58,0
8600000US13849,ZCTA5 13849,4449,4262,14,0,4449,96
8600000US13850,ZCTA5 13850,22392,18264,767,2591,22392,751
8600000US13856,ZCTA5 13856,5999,5822,105,0,5999,111
8600000US13859,ZCTA5 13859,99,99,0,0,99,0
8600000US13860,ZCTA5 13860,22,22,0,0,22,0
8600000US13861,ZCTA5 13861,379,370,0,0,379,0
8600000US13862,ZCTA5 13862,4053,3957,17,7,4053,83
8600000US13863,ZCTA5 13863,681,615,14,40,681,7
8600000US13864,ZCTA5 13864,1181,1018,35,0,1181,117
8600000US13865,ZCTA5 13865,6203,6117,52,0,6203,109
8600000US13901,ZCTA5 13901,18786,15834,975,465,18786,892
8600000US13902,ZCTA5 13902,6162,4869,256,804,6162,477
8600000US13903,ZCTA5 13903,17905,14726,1547,189,17905,903
8600000US13904,ZCTA5 13904,9789,8032,1118,220,9789,319
8600000US13905,ZCTA5 13905,26151,19644,2329,1952,26151,1768
8600000US14001,ZCTA5 14001,9324,8947,54,30,9324,111
8600000US14004,ZCTA5 14004,12240,11009,973,83,12240,248
8600000US14005,ZCTA5 14005,2312,2136,6,0,2312,155
8600000US14006,ZCTA5 14006,9823,9418,82,52,9823,254
8600000US14008,ZCTA5 14008,1547,1292,53,2,1547,89
8600000US14009,ZCTA5 14009,5625,5534,12,47,5625,151
8600000US14011,ZCTA5 14011,8864,7281,1110,14,8864,651
8600000US14012,ZCTA5 14012,2374,2047,82,37,2374,79
8600000US14013,ZCTA5 14013,1680,1177,21,22,1680,4
8600000US14020,ZCTA5 14020,22060,19470,898,333,22060,888
8600000US14024,ZCTA5 14024,1408,1352,12,28,1408,4
8600000US14025,ZCTA5 14025,3784,3602,8,0,3784,43
8600000US14026,ZCTA5 14026,568,568,0,0,568,24
8600000US14028,ZCTA5 14028,1571,1559,5,0,1571,1
8600000US14030,ZCTA5 14030,1882,1856,2,0,1882,48
8600000US14031,ZCTA5 14031,10158,9522,165,59,10158,260
8600000US14032,ZCTA5 14032,10084,9829,26,83,10084,69
8600000US14033,ZCTA5 14033,1344,1309,28,0,1344,113
8600000US14034,ZCTA5 14034,2428,1749,483,4,2428,227
8600000US14035,ZCTA5 14035,127,127,0,0,127,0
8600000US14036,ZCTA5 14036,5588,5398,107,3,5588,19
8600000US14037,ZCTA5 14037,897,897,0,0,897,4
8600000US14039,ZCTA5 14039,57,57,0,0,57,0
8600000US14040,ZCTA5 14040,1719,1719,0,0,1719,24
8600000US14041,ZCTA5 14041,180,178,0,0,180,0
8600000US14042,ZCTA5 14042,4359,4191,0,42,4359,89
8600000US14043,ZCTA5 14043,25058,23430,721,149,25058,621
8600000US14047,ZCTA5 14047,6525,6330,61,0,6525,191
8600000US14048,ZCTA5 14048,14414,11547,1066,80,14414,3761
8600000US14051,ZCTA5 14051,19178,15936,737,1966,19178,411
8600000US14052,ZCTA5 14052,17664,17053,106,99,17664,537
8600000US14054,ZCTA5 14054,1554,1317,0,0,1554,175
8600000US14055,ZCTA5 14055,1337,1317,0,0,1337,5
8600000US14057,ZCTA5 14057,8192,7885,14,81,8192,207
8600000US14058,ZCTA5 14058,2160,1914,26,0,2160,181
8600000US14059,ZCTA5 14059,10446,9954,352,41,10446,39
8600000US14060,ZCTA5 14060,478,478,0,0,478,0
8600000US14061,ZCTA5 14061,345,317,0,0,345,9
8600000US14062,ZCTA5 14062,3331,3195,17,29,3331,148
8600000US14063,ZCTA5 14063,13891,12097,600,220,13891,1113
8600000US14065,ZCTA5 14065,1705,1656,0,11,1705,5
8600000US14066,ZCTA5 14066,1188,1181,0,0,1188,1
8600000US14067,ZCTA5 14067,4971,4568,176,0,4971,207
8600000US14068,ZCTA5 14068,7169,5814,382,697,7169,150
8600000US14069,ZCTA5 14069,642,631,1,0,642,2
8600000US14070,ZCTA5 14070,6958,5272,738,10,6958,553
8600000US14072,ZCTA5 14072,21287,19688,473,390,21287,572
8600000US14075,ZCTA5 14075,42958,41564,464,181,42958,793
8600000US14080,ZCTA5 14080,4323,4238,34,0,4323,15
8600000US14081,ZCTA5 14081,2844,1661,50,43,2844,47
8600000US14082,ZCTA5 14082,498,493,0,0,498,0
8600000US14085,ZCTA5 14085,7605,7250,55,60,7605,72
8600000US14086,ZCTA5 14086,32653,31510,452,207,32653,760
8600000US14091,ZCTA5 14091,1422,891,40,13,1422,121
8600000US14092,ZCTA5 14092,10819,10062,118,123,10819,222
8600000US14094,ZCTA5 14094,49792,43170,2999,460,49792,1835
8600000US14098,ZCTA5 14098,3028,2833,25,0,3028,117
8600000US14101,ZCTA5 14101,1718,1693,0,0,1718,54
8600000US14102,ZCTA5 14102,1367,1216,0,0,1367,46
8600000US14103,ZCTA5 14103,10448,9115,568,96,10448,484
8600000US14105,ZCTA5 14105,4745,4557,49,3,4745,143
8600000US14108,ZCTA5 14108,5196,4968,40,6,5196,31
8600000US14109,ZCTA5 14109,1089,810,66,38,1089,116
8600000US14111,ZCTA5 14111,3146,3013,30,20,3146,28
8600000US14112,ZCTA5 14112,118,118,0,0,118,0
8600000US14113,ZCTA5 14113,488,488,0,0,488,6
8600000US14120,ZCTA5 14120,43738,41735,509,192,43738,530
8600000US14125,ZCTA5 14125,3514,3325,38,6,3514,68
8600000US14126,ZCTA5 14126,661,661,0,0,661,12
8600000US14127,ZCTA5 14127,29964,28461,354,296,29964,527
8600000US14129,ZCTA5 14129,1519,1219,20,10,1519,26
8600000US14130,ZCTA5 14130,231,228,3,0,231,7
8600000US14131,ZCTA5 14131,5056,4828,87,3,5056,17
8600000US14132,ZCTA5 14132,5999,5285,28,109,5999,68
8600000US14134,ZCTA5 14134,99,99,0,0,99,8
8600000US14135,ZCTA5 14135,95,93,0,0,95,0
8600000US14136,ZCTA5 14136,4574,4443,41,0,4574,102
8600000US14138,ZCTA5 14138,1786,1627,11,0,1786,156
8600000US14139,ZCTA5 14139,2020,1993,1,1,2020,4
8600000US14141,ZCTA5 14141,7534,7382,44,16,7534,137
8600000US14143,ZCTA5 14143,938,776,37,0,938,44
8600000US14145,ZCTA5 14145,1456,1357,5,0,1456,68
8600000US14150,ZCTA5 14150,41144,37082,1149,951,41144,1676
8600000US14167,ZCTA5 14167,1788,1632,3,0,1788,0
8600000US14168,ZCTA5 14168,29,29,0,0,29,0
8600000US14169,ZCTA5 14169,99,99,0,0,99,0
8600000US14170,ZCTA5 14170,2350,2350,0,0,2350,0
8600000US14171,ZCTA5 14171,2029,1903,15,0,2029,36
8600000US14172,ZCTA5 14172,2781,2573,0,8,2781,21
8600000US14173,ZCTA5 14173,166,166,0,0,166,0
8600000US14174,ZCTA5 14174,5843,5628,36,21,5843,89
8600000US14201,ZCTA5 14201,11192,5429,2530,185,11192,4419
