Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
8600000US12518,ZCTA5 12518,5861,5145,155,135,5861,667
8600000US12520,ZCTA5 12520,2970,2779,74,59,2970,262
8600000US12521,ZCTA5 12521,1522,1371,2,10,1522,33
8600000US12522,ZCTA5 12522,4918,4648,18,48,4918,745
8600000US12523,ZCTA5 12523,1810,1743,15,28,1810,45
8600000US12524,ZCTA5 12524,15608,12332,1481,635,15608,2225
8600000US12525,ZCTA5 12525,2966,2176,0,0,2966,10
8600000US12526,ZCTA5 12526,3530,3064,33,35,3530,409
8600000US12527,ZCTA5 12527,0,0,0,0,0,0
8600000US12528,ZCTA5 12528,12767,11049,579,234,12767,1444
8600000US12529,ZCTA5 12529,1919,1879,0,0,1919,102
8600000US12530,ZCTA5 12530,47,47,0,0,47,0
8600000US12531,ZCTA5 12531,2645,2443,24,47,2645,46
8600000US12533,ZCTA5 12533,26361,21371,1169,1361,26361,2840
8600000US12534,ZCTA5 12534,17814,13927,1821,742,17814,1043
8600000US12538,ZCTA5 12538,14566,11776,1303,547,14566,1265
8600000US12540,ZCTA5 12540,8882,7455,322,239,8882,1185
8600000US12542,ZCTA5 12542,5684,5162,220,47,5684,436
8600000US12543,ZCTA5 12543,3586,2808,505,34,3586,675
8600000US12545,ZCTA5 12545,4517,3860,208,137,4517,350
8600000US12546,ZCTA5 12546,2824,2460,113,81,2824,175
8600000US12547,ZCTA5 12547,2810,2583,83,51,2810,170
8600000US12548,ZCTA5 12548,1133,1053,19,0,1133,141
8600000US12549,ZCTA5 12549,11453,9291,923,119,11453,1409
8600000US12550,ZCTA5 12550,54503,28632,10875,1251,54503,20797
8600000US12553,ZCTA5 12553,26665,17469,4096,1291,26665,7220
8600000US12561,ZCTA5 12561,18224,15592,931,494,18224,1710
8600000US12563,ZCTA5 12563,7579,6011,921,66,7579,1399
8600000US12564,ZCTA5 12564,7710,6627,309,169,7710,1093
8600000US12565,ZCTA5 12565,997,948,28,10,997,37
8600000US12566,ZCTA5 12566,11886,10507,482,0,11886,1016
8600000US12567,ZCTA5 12567,2608,2438,5,17,2608,173
8600000US12569,ZCTA5 12569,9838,8404,259,175,9838,982
8600000US12570,ZCTA5 12570,6772,5772,519,159,6772,716
8600000US12571,ZCTA5 12571,10037,9148,277,228,10037,287
8600000US12572,ZCTA5 12572,8961,8158,204,264,8961,506
8600000US12574,ZCTA5 12574,502,453,0,31,502,49
8600000US12575,ZCTA5 12575,1930,1574,127,0,1930,501
8600000US12577,ZCTA5 12577,1929,1654,144,0,1929,110
8600000US12578,ZCTA5 12578,2100,1941,18,28,2100,14
8600000US12580,ZCTA5 12580,4359,3981,98,78,4359,141
8600000US12581,ZCTA5 12581,2231,1835,0,21,2231,493
8600000US12582,ZCTA5 12582,6213,4163,1310,125,6213,636
8600000US12583,ZCTA5 12583,2160,2053,7,46,2160,115
8600000US12585,ZCTA5 12585,928,731,150,0,928,0
8600000US12586,ZCTA5 12586,11774,9310,1621,104,11774,2014
8600000US12589,ZCTA5 12589,17843,13182,1644,355,17843,3130
8600000US12590,ZCTA5 12590,34823,27112,2468,1882,34823,5410
8600000US12592,ZCTA5 12592,1671,1479,92,25,1671,262
8600000US12594,ZCTA5 12594,4150,3656,303,0,4150,839
