id,name,address,latitude,longitude,opening_date
1,"OnPoint NYC","104-106 E 126th St, New York, NY 10035",40.80548147569635, -73.93795522208983,2021-11-30
2,"Washington Heights CORNER Project","500 W 180th Street, New York, NY 10033",40.84764414327246, -73.9318412932539,2021-11-30
