Data Year,County,ZIP Code,Numerator,Rate
2019,Orange,10985,s,s
2019,Rockland,10986,7,310.7*
2019,Orange,10987,6,185.6*
2019,Rockland,10989,26,280.1
2019,Orange,10990,57,276.8
2019,Orange,10992,15,155.4
2019,Rockland,10993,28,531.1
2019,Rockland,10994,17,241.4
2019,Orange,10996,s,s
2019,Orange,10998,s,s
2019,Nassau,11001,44,154.2
2019,Nassau,11003,67,161.5
2019,Queens,11004,15,113
2019,Queens,11005,0,0.0*
2019,Nassau,11010,43,179.4
2019,Nassau,11020,8,135.1*
2019,Nassau,11021,14,73.2
2019,Nassau,11023,s,s
2019,Nassau,11024,s,s
2019,Nassau,11030,10,55.3
2019,Nassau,11040,38,91.2
2019,Nassau,11042,0,0.0*
2019,Nassau,11050,40,125.8
2019,Nassau,11096,12,141.5
2019,Queens,11101,92,293.9
2019,Queens,11102,59,157.6
2019,Queens,11103,25,65
2019,Queens,11104,23,81
2019,Queens,11105,65,174.5
2019,Queens,11106,48,118.7
2019,Queens,11109,0,0.0*
2019,Kings,11201,147,248.7
2019,Kings,11203,217,275.9
2019,Kings,11204,128,156.5
2019,Kings,11205,80,173.2
2019,Kings,11206,286,309.2
2019,Kings,11207,329,322.4
2019,Kings,11208,248,244.3
2019,Kings,11209,179,255.8
2019,Kings,11210,59,88
2019,Kings,11211,195,188.2
2019,Kings,11212,260,290.8
2019,Kings,11213,195,295.1
2019,Kings,11214,243,265.9
2019,Kings,11215,109,161.6
2019,Kings,11216,280,488.3
2019,Kings,11217,117,318
2019,Kings,11218,124,159.6
2019,Kings,11219,175,184.5
2019,Kings,11220,283,274.3
2019,Kings,11221,261,298.2
2019,Kings,11222,115,291.4
2019,Kings,11223,255,313
2019,Kings,11224,200,403.6
2019,Kings,11225,58,97.3
2019,Kings,11226,132,126
2019,Kings,11228,98,228.3
2019,Kings,11229,229,280.7
2019,Kings,11230,180,216.7
2019,Kings,11231,91,255.8
2019,Kings,11232,70,230.2
2019,Kings,11233,379,520.2
2019,Kings,11234,142,158.7
2019,Kings,11235,358,427.3
2019,Kings,11236,111,114.7
2019,Kings,11237,155,291.2
2019,Kings,11238,99,185.5
2019,Kings,11239,23,151.3
2019,Queens,11354,53,86.2
2019,Queens,11355,42,47.4
2019,Queens,11356,25,98.1
2019,Queens,11357,85,206.9
2019,Queens,11358,27,69.4
2019,Queens,11359,0,0.0*
2019,Queens,11360,20,100.9
2019,Queens,11361,33,110.8
2019,Queens,11362,17,88.1
2019,Queens,11363,9,121.0*
2019,Queens,11364,27,74.5
2019,Queens,11365,70,160.5
2019,Queens,11366,23,163.6
2019,Queens,11367,37,84.6
2019,Queens,11368,102,85.4
2019,Queens,11369,34,87.2
2019,Queens,11370,84,272.9
2019,Queens,11372,53,77.6
2019,Queens,11373,75,70
2019,Queens,11374,40,87
2019,Queens,11375,80,110.8
2019,Queens,11377,79,84.8
2019,Queens,11378,51,140.4
2019,Queens,11379,54,144.8
2019,Queens,11385,171,166.3
2019,Queens,11411,19,103
2019,Queens,11412,37,104.6
2019,Queens,11413,44,109.1
2019,Queens,11414,62,226.8
2019,Queens,11415,10,47.9
2019,Queens,11416,69,262.4
2019,Queens,11417,66,221.4
2019,Queens,11418,74,194.2
2019,Queens,11419,59,123.7
2019,Queens,11420,55,117.1
2019,Queens,11421,64,156.1
2019,Queens,11422,43,130.8
2019,Queens,11423,75,248.1
2019,Queens,11426,22,111.3
2019,Queens,11427,33,140
2019,Queens,11428,17,88.4
2019,Queens,11429,23,89.9
2019,Queens,11432,105,159.4
2019,Queens,11433,50,138.3
2019,Queens,11434,153,245.4
2019,Queens,11435,122,217.3
2019,Queens,11436,26,138.9
2019,Nassau,11501,38,190.3
2019,Nassau,11507,8,109.8*
2019,Nassau,11509,s,s
2019,Nassau,11510,40,118.6
2019,Nassau,11514,s,s
2019,Nassau,11516,s,s
2019,Nassau,11518,17,156.5
2019,Nassau,11520,130,297.9
2019,Nassau,11530,13,46
2019,Nassau,11542,57,199.5
2019,Nassau,11545,7,49.2*
2019,Nassau,11548,s,s
2019,Nassau,11550,164,276.6
2019,Nassau,11552,35,144.6
2019,Nassau,11553,22,77.6
2019,Nassau,11554,117,300.7
2019,Nassau,11557,12,146.1
2019,Nassau,11558,41,482.2
2019,Nassau,11559,7,81.5*
2019,Nassau,11560,8,123.1*
2019,Nassau,11561,126,317.4
2019,Nassau,11563,25,110.6
2019,Nassau,11565,14,160.1
2019,Nassau,11566,61,169.4
2019,Nassau,11568,s,s
2019,Nassau,11570,46,168.2
2019,Nassau,11572,54,176.4
2019,Nassau,11575,31,184
2019,Nassau,11576,9,70.7*
2019,Nassau,11577,8,63.0*
2019,Nassau,11579,0,0.0*
2019,Nassau,11580,50,120.9
2019,Nassau,11581,27,127.9
2019,Nassau,11590,64,133.9
2019,Nassau,11596,10,94.4
2019,Nassau,11598,9,68.1*
2019,Queens,11691,156,241
2019,Queens,11692,52,236.5
2019,Queens,11693,45,342.9
2019,Queens,11694,53,242.7
2019,Queens,11697,s,s
2019,Suffolk,11701,69,254.7
2019,Suffolk,11702,39,277.5
2019,Suffolk,11703,42,261.8
2019,Suffolk,11704,127,326.7
2019,Suffolk,11705,27,335
