program_number,latitude,longitude
51115,40.83123,-73.90271
51117,40.76992,-73.98748
51144,40.8195,-73.91572
51145,40.8195,-73.91572
51149,40.63098,-73.9454
51154,40.74195,-73.98615
51157,40.63938,-74.07612
51264,40.74468,-73.90225
51265,40.68223,-73.8061
51422,40.51655,-74.19712
51470,40.70745,-74.00748
51582,40.72822,-73.98646
51594,40.80341,-73.95335
51600,40.81448,-73.9192
51686,40.75752,-73.8262
51697,40.81686,-73.89917
51698,40.70585,-73.80823
51729,40.83827,-73.93969
51744,40.69179,-73.98748
51750,40.80517,-73.96092
51760,40.67802,-73.95438
51782,40.89248,-73.85911
51788,40.83375,-73.92907
51801,40.84873,-73.90249
51820,40.69152,-73.8052
51827,40.75544,-73.81562
51829,40.63205,-74.09602
51840,40.80054,-73.93542
51843,40.7531,-73.99303
51845,40.62797,-73.97546
51847,40.73205,-73.9544
51859,40.72136,-73.83776
51885,40.68673,-73.94529
51889,40.85547,-73.84661
51908,40.71878,-73.80335
51909,40.657,-73.94635
51910,40.69488,-73.97628
51912,40.73954,-73.97633
51913,40.69468,-73.95442
51952,40.8074,-73.94411
51953,40.631,-73.96675
51959,40.75216,-73.98773
51971,40.82291,-73.90006
51973,40.67117,-73.95023
51975,40.6349,-74.13535
51981,40.85407,-73.9067
51992,40.87394,-73.85615
51993,40.6924,-73.99092
51994,40.67838,-73.91013
51997,40.74891,-73.87041
51998,40.70704,-74.00737
52001,40.82539,-73.90943
52002,40.82838,-73.92353
52006,40.69338,-73.99147
52021,40.70169,-73.94287
52030,40.77962,-73.98018
52031,40.80088,-73.93648
52046,40.84083,-73.8477
52057,40.7045,-73.79763
52059,40.80759,-73.94687
52068,40.68958,-73.98427
52070,40.67799,-73.97106
52078,40.63482,-73.94951
52083,40.70492,-73.79679
52088,40.85547,-73.84661
52100,40.88494,-73.87912
52103,40.77272,-73.96459
52109,40.73813,-74.00103
52124,40.62159,-74.07459
52125,40.6128,-74.17544
52126,40.63093,-74.10359
52129,40.59246,-73.97358
52141,40.60995,-73.96022
52144,40.66843,-73.98443
52161,40.77962,-73.98018
52184,40.83632,-73.93739
52192,40.75651,-73.96882
52198,40.62159,-74.07459
52202,40.75435,-73.89242
52211,40.8945,-73.8613
52212,40.90028,-73.85769
52213,40.67481,-73.87447
52219,40.77411,-73.93676
52233,40.82969,-73.8758
52234,40.71668,-74.004
52236,40.81669,-73.88952
52238,40.67802,-73.95438
52243,40.80182,-73.94371
52244,40.80182,-73.94371
52521,40.71794,-73.84887
52530,40.78591,-73.94568
52540,40.75651,-73.96882
52541,40.80361,-73.91029
52546,40.67802,-73.95438
52554,40.65193,-74.00473
52588,40.75435,-73.89242
52604,40.61826,-74.0807
52605,40.76518,-73.93998
52609,40.84236,-73.89048
52619,40.67148,-73.89556
52626,40.67669,-73.88173
52628,40.82569,-73.94828
52639,40.80254,-73.96691
52663,40.76992,-73.98748
52664,40.78805,-73.94746
52684,40.62159,-74.07459
52690,40.60899,-73.95656
52724,40.80873,-73.94884
52748,40.67448,-73.89534
52756,40.74492,-73.99303
52764,40.83205,-73.90373
52765,40.66506,-73.8744
52769,40.86763,-73.86114
52771,40.62581,-74.15272
52772,40.75307,-73.99261
52787,40.84615,-73.84104
52792,40.82558,-73.91898
52795,40.80341,-73.95335
52799,40.83522,-73.94057
52842,40.75505,-73.99216
52851,40.75435,-73.89242
52854,40.83999,-73.91922
52857,40.80202,-73.93756
52858,40.79239,-73.9448
52878,40.77962,-73.98018
52879,40.77962,-73.98018
52880,40.60874,-73.95935
52894,40.81262,-73.92395
52895,40.8085,-73.93765
52897,40.81484,-73.91962
52898,40.6733,-74.0001
52899,40.67099,-73.90355
52900,40.67501,-73.91927
52901,40.68253,-73.92883
52902,40.68636,-73.92214
52903,40.65279,-73.95213
52904,40.69145,-73.92584
52905,40.81699,-73.92277
52907,40.81816,-73.91618
52908,40.81188,-73.92402
52909,40.85368,-73.91622
52915,40.84615,-73.84104
52916,40.67433,-73.86326
52922,40.80259,-73.93641
52928,40.71689,-73.9975
52929,40.75435,-73.89242
52933,40.80285,-73.94034
52940,40.84846,-73.93409
52945,40.85995,-73.93088
52946,40.75628,-73.98178
52950,40.73813,-74.00103
52957,40.64446,-73.99091
52958,40.67481,-73.87447
53007,40.75651,-73.96882
53012,40.67802,-73.93745
53022,40.81461,-73.90711
53050,40.6128,-74.17544
53121,40.79748,-73.93262
53137,40.72856,-74.00489
53140,40.72856,-74.00489
53142,40.79251,-73.9732
53143,40.76969459,-73.98686946
53144,40.76969459,-73.98686946
53147,40.79251,-73.9732
53148,40.76969459,-73.98686946
53162,40.69283,-73.96182
53163,40.65401,-73.93083
53165,40.69283,-73.96182
53167,40.68012,-73.84736
53200,40.80421,-73.94184
53210,40.60186,-73.9939
53235,40.64242,-74.07527
53241,40.52196,-74.19862
53297,40.8291,-73.90671
53298,40.66509136,-73.87435436
53300,40.64242,-74.07527
53318,40.76425505,-73.93776633
53353,40.80421,-73.94184
53437,40.85183,-73.91626
53442,40.69000324,-73.92872652
